Source,Target,Weight
"Zetsu White","Pretty, INO",15
"Curse-Mark,Kawaki","Kakashi ,6th Hokage",15
"Curse-Mark,Kidomaru","Curse-Mark,Kawaki",10
"Curse-Mark,Jirobo","Pretty, INO",5
"Sarada Uchicha-kid","ToadSage/ Master Jiraya",5
"Lover Rin-Nohara","Pretty, INO",10
Sarutobi/Konohamru,"Curse-Mark,Kidomaru",20
"True Art, Deidara",Dog-Akamaru,20
"Zetsu White","ToadSage/ Master Jiraya",20
Sarutobi/Konohamru,"Minato Namikaze,4rth Hokage",15
"ToadSage/ Master Jiraya",Style-Crystal/Guren,15
Sarutobi/Konohamru,"Sarada Uchicha-kid",20
"ToadSage/ Master Jiraya",Sarutobi/Konohamru,5
"Lover Rin-Nohara",Sasori,15
"Slug Princess/Tsunade","Minato Namikaze,4rth Hokage",20
