Id,label
Sarutobi/Konohamru,Sarutobi/Konohamru
"The child of prophecy,Naruto","The child of prophecy,Naruto"
"ToadSage/ Master Jiraya","ToadSage/ Master Jiraya"
Temari,Temari
Sasori,Sasori
"Lord Pain, Nagato(GOD)","Lord Pain, Nagato(GOD)"
"Kakashi ,6th Hokage","Kakashi ,6th Hokage"
"Who-I-am,Kabuto","Who-I-am,Kabuto"
Dog-Akamaru,Dog-Akamaru
"Suffering, Itachi-Uchiha","Suffering, Itachi-Uchiha"
"Slug Princess/Tsunade","Slug Princess/Tsunade"
"Curse-Mark,Kidomaru","Curse-Mark,Kidomaru"
Rinnegan-Madara,Rinnegan-Madara
"Kurenai Yuhi","Kurenai Yuhi"
Style-Crystal/Guren,Style-Crystal/Guren
Immortal-Hidan,Immortal-Hidan
"Captain Yamato","Captain Yamato"
"Yukimaru,Tails-,3","Yukimaru,Tails-,3"
"5-Hearts,Kakuzu","5-Hearts,Kakuzu"
"Curse-Mark,Kimmimaro","Curse-Mark,Kimmimaro"
"Saviour Yahiko","Saviour Yahiko"
"Senju, TobiRama","Senju, TobiRama"
"Sharingan,Sasuke","Sharingan,Sasuke"
Tenten,Tenten
"Obito Uchiha,Hokage","Obito Uchiha,Hokage"
Sarutobi/Asuma,Sarutobi/Asuma
"Gaara, of the desert","Gaara, of the desert"
Kushina,Kushina
"Love, Senju HashiRama","Love, Senju HashiRama"
"Curse-Mark,Jirobo","Curse-Mark,Jirobo"
"Leaf,Danzo","Leaf,Danzo"
Aburame/Shino,Aburame/Shino
"Healer Karin","Healer Karin"
Dog-Owner/Kiba,Dog-Owner/Kiba
"Curse-Mark,Sakon/Ukon","Curse-Mark,Sakon/Ukon"
"Sannin, Orochimaru","Sannin, Orochimaru"
"Hyuga,Neji","Hyuga,Neji"
Royal/child/Boruto,Royal/child/Boruto
"True Art, Deidara","True Art, Deidara"
"Zetsu Black","Zetsu Black"
"Zetsu White","Zetsu White"
"Curse-Mark,Tayuya","Curse-Mark,Tayuya"
"Killer Bee,8-Tails","Killer Bee,8-Tails"
"Tsunade's apprentice,Sakura","Tsunade's apprentice,Sakura"
"Zabuza, Swordsman-from-the-mist","Zabuza, Swordsman-from-the-mist"
"Lady Angel, Konnan","Lady Angel, Konnan"
Shisui/Uchiha,Shisui/Uchiha
"Haku,Land-of-water","Haku,Land-of-water"
"Minato Namikaze,4rth Hokage","Minato Namikaze,4rth Hokage"
"Power/of/youth, Might Guy","Power/of/youth, Might Guy"
"Healer Shizune","Healer Shizune"
Sai'emptiness,Sai'emptiness
Style-Shark/Kisame,Style-Shark/Kisame
Royal/child/Himawari,Royal/child/Himawari
"Shikamaru Nara,IQ","Shikamaru Nara,IQ"
Lord-3rd,Lord-3rd
"Sarada Uchicha-kid","Sarada Uchicha-kid"
"Curse-Mark,Kawaki","Curse-Mark,Kawaki"
