Id,label
"Curse-Mark,Anko","Curse-Mark,Anko"
"Zetsu White","Zetsu White"
"Curse-Mark,Jirobo","Curse-Mark,Jirobo"
"Lover Rin-Nohara","Lover Rin-Nohara"
"Minato Namikaze,4rth Hokage","Minato Namikaze,4rth Hokage"
"Leaf,Danzo","Leaf,Danzo"
Sarutobi/Konohamru,Sarutobi/Konohamru
"True Art, Deidara","True Art, Deidara"
"Curse-Mark,Kidomaru","Curse-Mark,Kidomaru"
"Love, Senju HashiRama","Love, Senju HashiRama"
Dog-Akamaru,Dog-Akamaru
"Curse-Mark,Kawaki","Curse-Mark,Kawaki"
Style-Crystal/Guren,Style-Crystal/Guren
"Sarada Uchicha-kid","Sarada Uchicha-kid"
"Pretty, INO","Pretty, INO"
Sasori,Sasori
"Slug Princess/Tsunade","Slug Princess/Tsunade"
"ToadSage/ Master Jiraya","ToadSage/ Master Jiraya"
"Kakashi ,6th Hokage","Kakashi ,6th Hokage"
"Kurenai Yuhi","Kurenai Yuhi"
